hour,timestamp,avg_toxicity_all,avg_kindness_all,avg_empathy_all,total_bridges_built,personas_improved,personas_worsened,personas_unchanged,total_dopamine_distributed,kindness_percentage,toxicity_percentage
1,2025-08-29T17:39:46.943432,4.26725,5.73275,5.776325,2,0,0,20,689,0,0
1,2025-08-29T17:55:17.902524,4.26115,5.73885,5.78695,4,0,0,20,705,0,0
2,2025-08-29T18:00:22.924977,4.2247,5.7753,5.82155,8,0,0,20,1430,0,0
3,2025-08-29T18:06:14.085646,4.18595,5.81405,5.858225,14,0,0,20,2292,0,0
4,2025-08-29T18:11:53.608934,4.130850000000001,5.869149999999999,5.90095,20,0,0,20,3279,0,0
5,2025-08-29T18:17:15.957225,4.0937,5.9063,5.940424999999999,27,0,0,20,4302,0,0
6,2025-08-29T18:22:53.154889,4.0532,5.9468,5.97675,33,1,0,19,5270,0,0
7,2025-08-29T19:03:54.900900,4.0033,5.9967,6.0189,41,2,0,18,6362,0,0
8,2025-08-29T19:09:49.397895,3.971025,6.028975,6.060275,47,2,0,18,7393,0,0
9,2025-08-29T19:15:48.925415,3.9210750000000005,6.078925,6.106175,56,3,0,17,8629,0,0
10,2025-08-29T19:21:27.275142,3.869175,6.130825,6.1538,64,4,0,16,9875,0,0
11,2025-08-29T19:27:19.044613,3.8051250000000003,6.194875,6.205875000000001,76,5,0,15,11006,0,0
12,2025-08-29T19:32:53.010115,3.7559750000000003,6.244025,6.258850000000001,86,5,0,15,12238,0,0
13,2025-08-29T19:38:48.073318,3.709375,6.290625,6.30445,99,5,0,15,13400,0,0
14,2025-08-29T19:44:42.131823,3.6751750000000003,6.324825,6.342675,108,6,0,14,14608,0,0
15,2025-08-29T20:21:17.897938,3.634125,6.365875,6.3824,116,6,0,14,15954,0,0
16,2025-08-29T20:27:14.471170,3.5886250000000004,6.411375,6.422725,126,6,0,14,17211,0,0
17,2025-08-29T20:32:38.820301,3.5398250000000004,6.460175,6.4685749999999995,133,7,0,13,18653,0,0
18,2025-08-29T20:38:33.925854,3.501775,6.498225,6.4998000000000005,141,7,0,13,19976,0,0
19,2025-08-29T20:44:06.115651,3.450425,6.549575,6.542700000000001,146,7,0,13,21372,0,0
20,2025-08-29T21:20:57.279562,3.3993750000000005,6.600624999999999,6.5884,155,7,0,13,22773,0,0
21,2025-08-29T21:44:29.846263,3.356225,6.643775,6.6282250000000005,163,7,0,13,24069,0,0
22,2025-08-29T21:50:02.989674,3.3036749999999997,6.696325,6.674825,173,7,0,13,25360,0,0
23,2025-08-29T21:56:05.482227,3.252075,6.747925,6.721850000000001,182,7,0,13,26683,0,0
24,2025-08-29T22:01:40.293492,3.215575,6.784425000000001,6.756175000000001,189,7,0,13,28029,0,0
25,2025-08-29T22:06:56.321915,3.180825,6.8191749999999995,6.7934,195,9,0,11,29410,0,0
26,2025-08-29T22:12:22.567565,3.148625,6.851375,6.831650000000001,201,9,0,11,30817,0,0
27,2025-08-29T22:18:05.549399,3.1141750000000004,6.885825,6.872375000000001,207,9,0,11,32229,0,0
28,2025-08-29T22:23:45.088462,3.077025,6.922975,6.918775000000001,213,9,0,11,33590,0,0
29,2025-08-29T22:29:25.256004,3.044775,6.955225,6.955025000000002,220,10,0,10,34872,0,0
30,2025-08-29T22:35:04.379971,3.011175,6.988825,7.007925,231,10,0,10,35988,0,0
31,2025-08-29T22:40:36.078215,2.9831250000000002,7.016875,7.046300000000002,237,10,0,10,37260,0,0
32,2025-08-29T22:46:11.034569,2.945525,7.054475,7.097150000000002,246,10,0,10,38223,0,0
33,2025-08-29T22:51:42.869216,2.913075,7.086925,7.1357,253,10,0,10,39365,0,0
34,2025-08-29T22:56:57.121660,2.879575,7.120425,7.173975000000001,256,10,0,10,40714,0,0
35,2025-08-29T23:02:28.382106,2.842025,7.157975,7.210175000000001,262,10,0,10,42192,0,0
36,2025-08-29T23:07:44.118218,2.812775,7.187225,7.2559,273,10,0,10,43513,0,0
37,2025-08-29T23:12:53.067193,2.785025,7.214975,7.3035250000000005,280,10,0,10,44970,0,0
38,2025-08-29T23:18:10.380391,2.7521250000000004,7.247875,7.348200000000001,291,10,0,10,46266,0,0
39,2025-08-29T23:23:25.410865,2.726175,7.273825,7.379575,299,10,0,10,47566,0,0
40,2025-08-29T23:28:28.488518,2.696875,7.303125,7.412625000000001,308,10,0,10,48773,0,0
41,2025-08-29T23:33:57.958183,2.660425,7.339575,7.458900000000002,316,10,0,10,50118,0,0
42,2025-08-29T23:39:12.642611,2.632225,7.367775,7.490350000000001,325,10,0,10,51471,0,0
43,2025-08-29T23:56:14.403414,2.6081250000000002,7.391875,7.5256,333,10,0,10,52842,0,0
44,2025-08-30T00:01:17.195764,2.575125,7.424875,7.573500000000001,340,11,0,9,54056,0,0
45,2025-08-30T00:06:42.896871,2.549075,7.450925,7.616175000000001,348,11,0,9,55491,0,0
46,2025-08-30T00:12:02.715213,2.531825,7.4681750000000005,7.648275000000001,356,11,0,9,56457,0,0
47,2025-08-30T00:17:36.200708,2.495625,7.504375,7.703100000000001,367,11,0,9,57789,0,0
48,2025-08-30T00:23:13.639722,2.476375,7.523625,7.734999999999999,374,11,0,9,59124,0,0
49,2025-08-30T00:28:27.306478,2.445875,7.554125,7.7605,381,12,0,8,60451,0,0
50,2025-08-30T00:33:32.922189,2.422275,7.577725,7.783250000000001,388,12,0,8,61774,0,0
51,2025-08-30T00:39:07.909856,2.379525,7.620475,7.8179,396,13,0,7,62922,0,0
52,2025-08-30T00:44:28.524597,2.353875,7.646125,7.850125,406,13,0,7,64097,0,0
53,2025-08-30T00:49:44.224945,2.323925,7.676075,7.878075000000001,414,13,0,7,65311,0,0
54,2025-08-30T00:55:02.279244,2.2801750000000003,7.719825,7.917050000000001,424,14,0,6,66656,0,0
55,2025-08-30T01:00:23.819416,2.259175,7.740825,7.948400000000001,432,14,0,6,67994,0,0
56,2025-08-30T01:05:42.178422,2.222975,7.777025,7.994925,444,14,0,6,69305,0,0
57,2025-08-30T01:11:25.922223,2.210125,7.789875,8.017775,454,14,0,6,70691,0,0
58,2025-08-30T01:16:51.446924,2.1868749999999997,7.813125,8.046325000000001,459,14,0,6,72107,0,0
59,2025-08-30T01:21:53.012465,2.163475,7.836525,8.080000000000002,468,14,0,6,73547,0,0
60,2025-08-30T01:27:09.759214,2.140925,7.859075,8.101025000000002,473,14,0,6,75013,0,0
61,2025-08-30T01:32:17.969766,2.108475,7.891525,8.136875,483,14,0,6,76349,0,0
62,2025-08-30T01:37:47.401318,2.080725,7.919275,8.170000000000002,492,14,0,6,77750,0,0
63,2025-08-30T01:42:58.971042,2.0531750000000004,7.946825,8.205450000000003,502,14,0,6,78970,0,0
64,2025-08-30T01:48:13.271141,2.025425,7.974575,8.240925,510,14,0,6,80450,0,0
65,2025-08-30T01:53:36.959250,1.9967750000000002,8.003225,8.273825,520,14,0,6,81760,0,0
66,2025-08-30T01:59:24.809906,1.9673749999999999,8.032625,8.308525,526,14,0,6,83320,0,0
67,2025-08-30T02:04:46.313429,1.9309249999999998,8.069075,8.342125000000001,533,15,0,5,84795,0,0
68,2025-08-30T04:21:41.676541,1.9210249999999998,8.078975,8.349575000000002,535,15,0,5,85135,0,0
69,2025-08-30T06:05:30.860013,1.9210249999999998,8.078975,8.349575000000002,535,15,0,5,85135,0,0
