timestamp,hour,persona_id,persona_name,baseline_toxicity,current_toxicity,toxicity_change,baseline_empathy,current_empathy,empathy_change,total_dopamine,kindness_streak,toxicity_streak,bridges_built,openness_to_change
2025-08-29T17:34:14.674124,0,angry_jim,Angry Jim,8,8,0,2,2,0,0,0,0,0,0.3
2025-08-29T17:34:14.674325,0,cynical_karen,Cynical Karen,7,7,0,3,3,0,0,0,0,0,0.35
2025-08-29T17:34:14.674496,0,troll_tyler,Troll Tyler,9,9,0,1,1,0,0,0,0,0,0.2
2025-08-29T17:34:14.674655,0,rage_rachel,Rage Rachel,8,8,0,2,2,0,0,0,0,0,0.25
2025-08-29T17:34:14.674807,0,bitter_bob,Bitter Bob,7,7,0,3,3,0,0,0,0,0,0.2
2025-08-29T17:34:14.674955,0,frustrated_frank,Frustrated Frank,6,6,0,4,4,0,0,0,0,0,0.5
2025-08-29T17:34:14.675099,0,sarcastic_sarah,Sarcastic Sarah,5,5,0,5,5,0,0,0,0,0,0.6
2025-08-29T17:34:14.675279,0,anxious_alex,Anxious Alex,4,4,0,6,6,0,0,0,0,0,0.7
2025-08-29T17:34:14.675426,0,moderate_mike,Moderate Mike,4,4,0,6,6,0,0,0,0,0,0.8
2025-08-29T17:34:14.675570,0,skeptical_sam,Skeptical Sam,5,5,0,5,5,0,0,0,0,0,0.6
2025-08-29T17:34:14.675726,0,tired_tara,Tired Tara,5,5,0,5,5,0,0,0,0,0,0.6
2025-08-29T17:34:14.675844,0,practical_pat,Practical Pat,4,4,0,6,6,0,0,0,0,0,0.7
2025-08-29T17:34:14.676125,0,curious_carlos,Curious Carlos,3,3,0,7,7,0,0,0,0,0,0.9
2025-08-29T17:34:14.676316,0,analytical_anna,Analytical Anna,3,3,0,7,7,0,0,0,0,0,0.8
2025-08-29T17:34:14.676485,0,diplomatic_diana,Diplomatic Diana,2,2,0,8,8,0,0,0,0,0,0.85
2025-08-29T17:34:14.676646,0,kind_tina,Kind Tina,1,1,0,9,9,0,0,0,0,0,0.95
2025-08-29T17:34:14.676804,0,optimist_oliver,Optimist Oliver,1,1,0,9,9,0,0,0,0,0,0.9
2025-08-29T17:34:14.676960,0,grandma_grace,Grandma Grace,1,1,0,10,10,0,0,0,0,0,0.8
